Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3,Cat_4
Methyl cis-10-pentadecenoate,90176-52-6,Rxi5ms,225.48,33.231,73.29,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl palmitate,112-39-0,Rxi5ms,237.07,33.221,85.696,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl palmitoleate,10030-74-7,Rxi5ms,235.43,33.548,79.625,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl heptadecanoate,1731-92-6,Rxi5ms,247.32,33.468,91.557,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl stearate,112-61-8,Rxi5ms,257.13,33.703,97.224,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
trans-9-Elaidic acid methyl ester,1937-62-8,Rxi5ms,255.19,34.07,101.21,0.001,Brehmer2022,FAME,unsaturated FAME,,
cis-9-Oleic acid methyl ester,112-62-9,Rxi5ms,255.57,33.793,79.461,0.001,Brehmer2022,FAME,saturated FAME,,
Methyl linolelaidate,2566-97-4,Rxi5ms,254.91,34.059,78.497,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl linoleate,112-63-0,Rxi5ms,254.87,33.909,98.942,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl arachidate,1120-28-1,Rxi5ms,275.43,34.114,111.64,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl cis-11-eicosenoate,2390-09-2,Rxi5ms,273.91,34.44,97.667,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl heneicosanoate,6064-90-0,Rxi5ms,284.1,34.319,115.15,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
"cis-11,14-Eicosadienoic acid methyl ester",61012-46-2,Rxi5ms,273.65,34.553,95.948,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl behenate,929-77-1,Rxi5ms,292.34,34.464,121.42,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
"cis-8,11,14-Eicosatrienoic acid methyl ester",21061-10-9,Rxi5ms,272.17,34.901,102.64,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl erucate,1120-34-9,Rxi5ms,290.85,34.719,112.45,0.001,Brehmer2022,FAME,unsaturated FAME,,
"cis-11,14,17-Eicosatrienoic acid methyl ester",55682-88-7,Rxi5ms,273.91,34.439,96.883,0.001,Brehmer2022,FAME,unsaturated FAME,,
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",7771-44-0,Rxi5ms,270.91,35.14,98.52,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl tricosanoate,2433-97-8,Rxi5ms,300.3,34.592,124.48,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
"cis-13,16-Docosadienoic acid methyl ester",61012-47-3,Rxi5ms,290.78,34.949,112.16,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl lignocerate,2442-49-1,Rxi5ms,308.02,34.864,135.0,0.001,Brehmer2022,FAME,saturated FAME,,
